pokedex_number,abilities,name,hp,defense,attack,speed,type1,type2,classfication,experience_growth,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,percentage_male,height_m,weight_kg,generation
pokedex_number,abilities,name,hp,defense,attack,speed,type1,type2,classfication,experience_growth,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,percentage_male,height_m,weight_kg,generation
1,"['Overgrow', 'Chlorophyll']",Bulbasaur,45,49,49,45,grass,poison,Seed Pokémon,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,88.1,0.7,6.9,1
2,"['Overgrow', 'Chlorophyll']",Ivysaur,60,63,62,60,grass,poison,Seed Pokémon,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,88.1,1.0,13.0,1
3,"['Overgrow', 'Chlorophyll']",Venusaur,80,123,100,80,grass,poison,Seed Pokémon,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,88.1,2.0,100.0,1
4,"['Blaze', 'Solar Power']",Charmander,39,43,52,65,fire,,Lizard Pokémon,1059860,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,0.6,8.5,1
5,"['Blaze', 'Solar Power']",Charmeleon,58,58,64,80,fire,,Flame Pokémon,1059860,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,1.1,19.0,1
6,"['Blaze', 'Solar Power']",Charizard,78,78,104,100,fire,flying,Flame Pokémon,1059860,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,88.1,1.7,90.5,1
7,"['Torrent', 'Rain Dish']",Squirtle,44,65,48,43,water,,Tiny Turtle Pokémon,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,0.5,9.0,1
8,"['Torrent', 'Rain Dish']",Wartortle,59,80,63,58,water,,Turtle Pokémon,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,1.0,22.5,1
9,"['Torrent', 'Rain Dish']",Blastoise,79,120,103,78,water,,Shellfish Pokémon,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,1.6,85.5,1
10,"['Shield Dust', 'Run Away']",Caterpie,45,35,30,45,bug,,Worm Pokémon,1000000,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,0.3,2.9,1
11,['Shed Skin'],Metapod,50,55,20,30,bug,,Cocoon Pokémon,1000000,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,0.7,9.9,1
12,"['Compoundeyes', 'Tinted Lens']",Butterfree,60,50,45,70,bug,flying,Butterfly Pokémon,1000000,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,1.1,32.0,1
